date,user,text,retweets,favorites,mentions,hashtags,geolocation
2020-04-10 00:49:55+00:00,T_Doc,"Orange Clouds, Icebergs Things you can dream while distanced COVID fear is gone",0,2,,,
2020-04-10 00:42:37+00:00,_eemgee_,Landlords when you can’t pay rent due to covid 19 ,0,1,,,
2020-04-10 00:40:57+00:00,AlexBoyerFox4,"Feds allow pharmacists to order, administer COVID-19 coronavirus tests. @NACDS CEO tells @FOX4 he believes many pharmacies will answer the call to action.",4,16,@NACDS @FOX4,,
2020-04-10 00:39:01+00:00,ayokasystems,#China investment bulks up hedge funds to make major acquisitions in Europe &amp; US as companies falter with coronavirus with over $1 billion raised by #stocks &amp; #bonds fund run by star manager Yang Dong #CIO,1,1,,#China #stocks #bonds #CIO,
2020-04-10 00:37:04+00:00,djd666,I retroactively blame coronavirus for my failed marriage,0,2,,,
2020-04-10 00:30:30+00:00,carsoncgibbons,Tex Mex food truck parked in the neighborhood! Clutch Covid entrepreneurship right here ,0,4,,,
2020-04-10 00:24:51+00:00,mdsmelser,#CCPVirus_Coronavirus #CCPVirus Is more accurate: Commie virus.,0,0,,#CCPVirus_Coronavirus #CCPVirus,
2020-04-10 00:22:04+00:00,joao_g_braga,Shit.. poor Germans. First it was the nazi.. now it’s coronavirus,0,0,,,
2020-04-10 00:18:56+00:00,bom_iie,when J.I said “i swear this gon mess the summer up” he was talm bout COVID-19,1,1,,,
2020-04-10 00:17:58+00:00,keatonnn22,Forest is cancelled. Covid is really ruining my life,3,5,,,
2020-04-10 00:14:50+00:00,steve_pulley,"COVID-19 has been the most surreal experience. Good Friday will help us gain perspective and peace. Watch Friday, @milestonechurch. – at Milestone Church",0,4,@milestonechurch,,
2020-04-09 23:59:14+00:00,JmuelOficial,"""The Opportunity"" https://youtu.be/qHLl4sr_GeQ vía @YouTube Dale play y comparte en estas cuarentenas. Música buena. #coronavirus #cuarentena #trap #traplarino #Jmuel #dallas #texas #Austin #Houston #SanAntonio #puertorico",0,0,@YouTube,#coronavirus #cuarentena #trap #traplarino #Jmuel #dallas #texas #Austin #Houston #SanAntonio #puertorico,
2020-04-09 23:58:04+00:00,CityOfFriscoTx,FRISCO COVID-19 Update: Denton and Collin County each confirm 4 new Frisco cases of COVID-19 bringing Frisco’s daily new confirmed cases count to 8. ,5,11,,,
2020-04-09 23:51:44+00:00,DeborahBee1959,"666, CORONAvirus &amp; mathematics. Apocalypse 6,7-8 ; 13,16-18 | Calculatin... https://youtu.be/4v312l7WlnQ via @YouTube",0,0,@YouTube,,
2020-04-09 23:45:02+00:00,obedmanuel,"There’s been a breakdown of communication about the #Coronavirus pandemic between government officials and Spanish-speaking immigrants in Dallas and Texas, groups say. My latest for @dallasnews with @anxious_maria:",68,80,@dallasnews @anxious_maria,#Coronavirus,
2020-04-09 23:43:26+00:00,Boomer_Patriot,"@Pontifex Francis Weighs In On Coronavirus, Says It Could Be 'Nature's Response' To Doing Nothing On Climate Change ",0,0,@Pontifex,,
2020-04-09 23:38:31+00:00,GabbyHahaa,"Thank y’all for all of the support and prayers. Unfortunately, my grandpa lost his battle today to COVID-19 but he didn’t go down without a fight. I love him and i will miss him so much",2,20,,,
2020-04-09 23:28:41+00:00,JeffKolbFOX4,My hair isn’t too bad yet... but this is where we’re heading. Back to the high school HAIRNADO #covi̇d19 #coronavirus #need #haircut ,0,9,,#covi #coronavirus #need #haircut,
2020-04-09 23:27:13+00:00,MDM2582,"When Sweet Dee Reynolds reposts your story on her IG account, you know you’ve made it as a coronavirus quarantine influencer. #AlwaysSunny",0,11,,#AlwaysSunny,
2020-04-09 23:18:11+00:00,BasementShow34,"Hey COVID-19. On behalf of Major League Baseball, it’s players, and it’s fans..... ",0,0,,,
2020-04-09 23:17:08+00:00,PicturePoisonE,"FOR ALL THE #ARTIST ..WHO STILL #GETTING IT DURING THIS #EPIDEMIC ...WHILE #OTHERS SIT BACK AND #FALL OFF ...#ALL #COVID-19 ..IM GIVING #YOU THE #HOTTEST #DEAL IN MY #CITY, #YOUR CITY, &amp; WHOEVER #GOT IT... CANT #BEAT IT",1,0,,#ARTIST #GETTING #EPIDEMIC #OTHERS #FALL #ALL #COVID #YOU #HOTTEST #DEAL #CITY #YOUR #GOT #BEAT,
2020-04-09 23:04:15+00:00,jbird1032002,By next week it will be 50k and that’s if they skew the statistics and call someone dying of cancer or renal failure etc. as a Covid death. ,0,0,,,
2020-04-09 23:04:07+00:00,DavidAD32960283,"COVID-19 started in China in October. In Nov and Dec, 500,000 Chinese visited America. I think China is going to be forced to cancel debts and perhaps even pay reparations. Regardless, they're going to be bent over.",0,0,,,
2020-04-09 22:59:17+00:00,christoph7809,MN is telling doctors to classify most deaths as CoronaVirus so they can get full reimbursement from the federal government.,0,0,,,
2020-04-09 22:53:51+00:00,claypwest,"If the same steps were taken, but Louisiana was the state removed, the northern states would be over 5X as great in COVID-19 cases. #COVID19bythenumbers",0,0,,#COVID19bythenumbers,
2020-04-09 22:52:37+00:00,claypwest,Did some data crunching to see the percentage of COVID-19 cases in the US compared to population of that state. With the exception of Louisiana there is an obvious pattern that northern states have a higher rate than the southern states. 4.5X as high in fact. #COVID19bythenumbers,0,1,,#COVID19bythenumbers,
2020-04-09 22:51:13+00:00,Boomer_Patriot,Survey Shows Overwhelming Majority of Doctors Would Prescribe Hydroxychloroquine to a Family Member With Wuhan Coronavirus ,0,0,,,
2020-04-09 22:50:46+00:00,AmberWavesREG,"We are truly thankful for everyone that is essential in keeping our country rolling during the COVID 19 crisis. Thank you for feeding us, healing us and putting others before yourselves. Help where you can and take… https://www.instagram.com/p/B-xwqn1HNux/?igshid=odle3vn8tmei",0,0,,,
2020-04-09 22:50:03+00:00,Boomer_Patriot,National Center for Medical Intelligence Issues Rare Statement Debunking Media Reports on Wuhan Coronavirus Timeline ,0,0,,,
2020-04-09 22:34:16+00:00,IrvingFCTX,New episode https://youtu.be/FFGKkoqtpcI #irvingfc #losgallos #gallos #somosirvingfc #weareirvingfc #fuerzagallos #futbol #upsl #soccer #irvingtx #dallasfortworth #fortworth #grandprairie #coronavirus #who #quarantine #stayhome #stayhomesavelifes #losvagosdeirving,4,7,,#irvingfc #losgallos #gallos #somosirvingfc #weareirvingfc #fuerzagallos #futbol #upsl #soccer #irvingtx #dallasfortworth #fortworth #grandprairie #coronavirus #who #quarantine #stayhome #stayhome #stayhomesavelifes #losvagosdeirving,
2020-04-09 22:32:40+00:00,trevoypointer,This coronavirus got me fading my own head. I would have never thought...sheesh ...every entrepreneur will find a solution. That’s a fact.,0,0,,,
2020-04-09 22:24:38+00:00,DeborahBee1959,Live: President Donald J. Trump and Coronavirus Task Force Hold Briefing... https://youtu.be/405bsqSRoF8 via @YouTube,0,0,@YouTube,,
2020-04-09 22:21:53+00:00,WillCMaddox,.@UTSWNews has plans to use plasma from recovered #Covid_19 patients to treat those in critical condition.,1,3,@UTSWNews,#Covid_19,
2020-04-09 22:21:06+00:00,Boomer_Patriot,Actor Dennis Quaid says President Trump is 'handling' coronavirus 'in a good way' — and anti-Trump interviewer just can't seem to let it go ,1,1,,,
2020-04-09 22:18:12+00:00,SimonLCurrie,Had a blast with my first #skypeascientist with two boys from Long Island today! They were very engaged with my research and were curious about big topics like gene editing and COVID-19 as well. If you can spare time right now I would highly recommend signing up @SkypeScientist,0,8,@SkypeScientist,#skypeascientist,
2020-04-09 22:15:23+00:00,Boomer_Patriot,Stunning: @CBSNews Again Caught Using Footage From Italy Hospital In US Coronavirus Coverage https://thepoliticalinsider.com/stunning-cbs-again-caught-using-footage-from-italy-hospital-in-us-coronavirus-coverage/ via @TPInsidr,1,1,@CBSNews @TPInsidr,,
2020-04-09 22:11:44+00:00,NickHarris247,"Despite the COVID-19 shutdown and subsequent NCAA dead period, Rueben Owens II (@ii_rueben) has still been getting in work at home. He details that and his rising recruitment after a monstrous freshman season at El Campo for @Horns247. : https://247sports.com/college/texas/board/21/Contents/catching-up-with-elite-2023-running-back-recruit-rueben-owens-ii-145885875/",4,24,@ii_rueben @Horns247,,
2020-04-09 22:08:06+00:00,LuceLaw,"BTW, what is a life or two worth? You do know Southlake is winning the most cases of #coronavirus per capita in Tarrant County,,, maybe Texas. Nice work. But you know, golf.",0,1,,#coronavirus,
2020-04-09 22:05:36+00:00,Zoe_and_Dai,So my job has two confirm COVID-19 cases and they shutting down for TWO DAYS. So they people who actually can stay inside and be safe DO IT. Because some still have to go out and work and can’t quarantine like others,0,1,,,
2020-04-09 22:04:27+00:00,Boomer_Patriot,Yelp to lay off or furlough 35% of staff to cut costs amid coronavirus lockdowns ,0,0,,,
